first_name,middle_name,last_name,sex,birth_date,birth_city,birth_country,death_date,death_city,death_country
Anthony,Dale,Mejia,F,1723-12-22,Amandafort,Italy,1794-10-02,West Jamesborough,Saint Vincent and the Grenadines
Jason,Laurie,Murphy,M,1766-12-01,Lake Connor,Fiji,1811-11-11,Welchberg,Vanuatu
Joseph,Cory,Martinez,F,1711-04-15,Robertmouth,Lebanon,1851-09-25,Zamorashire,Bhutan
Joseph,Russell,Davis,F,1704-11-26,Lake Ericburgh,Kyrgyz Republic,1752-09-09,Kevinshire,Qatar
Jon,Steven,Munoz,F,1746-06-25,South Lisa,Bosnia and Herzegovina,1776-04-15,Joelmouth,Norfolk Island
Michael,Michael,Walker,F,1682-08-15,Thomasfort,Singapore,1824-05-12,Garyton,Equatorial Guinea
Christian,Larry,Newman,M,1721-04-12,West Ashleyberg,Brazil,1857-06-15,New Taylortown,Slovakia (Slovak Republic)
Edwin,Margaret,Hall,F,1685-05-20,Carterbury,Equatorial Guinea,1711-09-11,Michaelmouth,Serbia
Logan,Michael,Wolfe,F,1693-11-10,Port Kellymouth,Italy,1843-02-25,Port Lindatown,Zimbabwe
Jeffrey,Victor,French,M,1755-03-24,South Paulmouth,Cook Islands,1842-04-21,West Kelly,Finland
Scott,Justin,Taylor,F,1724-05-17,Jamesside,Italy,1744-08-02,Fergusonshire,Brunei Darussalam
Vincent,Wendy,Campbell,M,1735-06-25,West Haileyport,Nigeria,1766-05-11,South Joshua,Aruba
Terry,Johnny,Hernandez,F,1717-07-06,Kennethfurt,Netherlands Antilles,1784-04-02,Dakotabury,Togo
David,Amanda,Potter,M,1730-02-18,Markville,Brazil,1766-04-25,Mitchellmouth,Northern Mariana Islands
Nicholas,Stephanie,Keith,M,1726-06-08,Port Juliaton,Monaco,1809-10-14,New Sheryl,Israel
Erik,Sharon,Bruce,M,1753-12-05,Port Diane,Sri Lanka,1796-05-14,Jasontown,Cyprus
Michael,Elizabeth,Ochoa,M,1715-11-27,South Jeremychester,Myanmar,1811-05-14,Gardnermouth,Spain
Timothy,Matthew,Munoz,M,1675-01-04,Cynthiaside,Switzerland,1741-07-10,East Heatherburgh,Oman
Mark,Michele,Ross,M,1683-02-15,Port Amyland,France,1787-08-13,Gonzalezville,Lebanon
Omar,Jamie,Harris,M,1765-02-01,Lisaborough,Solomon Islands,1802-12-16,West Christopherberg,Switzerland
Aaron,Jamie,Howard,M,1733-06-20,Michaeltown,Wallis and Futuna,1852-12-10,Craigland,Sierra Leone
Michael,Shawn,Ramirez,F,1679-04-14,Port Jacquelineview,Comoros,1703-03-13,Benjaminmouth,French Polynesia
Robert,Jeremy,Tucker,F,1719-09-17,North Barbaraville,Cote d'Ivoire,1779-03-28,North Chase,Cyprus
Darin,Eric,Carr,M,1763-05-04,Hayesfurt,Nepal,1794-06-08,Patriciahaven,Barbados
Adam,Holly,Galvan,M,1763-10-08,Lake Rhondatown,Botswana,1792-09-10,Port David,Ethiopia
Eric,Stephanie,Martinez,F,1749-01-25,Vincentmouth,Bahrain,1800-09-02,West Seanchester,Marshall Islands
Jeffrey,Candice,Forbes,F,1706-01-16,East Kristin,Turks and Caicos Islands,1855-11-08,Port Amandachester,Cayman Islands
Dylan,Bryan,Stevens,F,1689-01-26,Port Danafort,Kiribati,1825-05-28,New Patricia,Ghana
Kenneth,Elizabeth,Williams,F,1748-10-16,New Jessicashire,Morocco,1860-07-22,Derekland,Zambia
Adam,James,White,M,1715-11-30,North Melissa,Saint Pierre and Miquelon,1796-09-28,Scotthaven,Moldova
Ryan,Angel,Finley,F,1729-08-30,East Erica,Mauritania,1748-12-13,Lake Gwendolyn,Antarctica (the territory South of 60 deg S)
Patrick,Sarah,David,M,1709-08-22,Donaldtown,Spain,1738-03-05,Lake Jenniferborough,Jordan
Gilbert,Robert,Carter,F,1680-04-02,Holtburgh,Sierra Leone,1786-11-12,Vickiberg,Cote d'Ivoire
Adam,Danielle,Thomas,M,1725-07-05,Arellanoland,Marshall Islands,1730-04-04,South Alexander,Palau
Joel,Robin,Garcia,M,1673-08-05,South Angela,Romania,1755-07-09,Lake Jonathanberg,Philippines
Douglas,Dennis,Wilson,F,1765-12-04,South Jennifer,Madagascar,1834-08-06,Port Whitney,Micronesia
Larry,Jeffrey,Bradley,M,1732-11-07,Evanston,Albania,1735-11-23,Jordantown,Bolivia
Keith,Kayla,Freeman,F,1688-06-22,Mckinneyhaven,Papua New Guinea,1788-08-22,North Ryanland,Uruguay
Zachary,Stanley,Smith,F,1701-09-27,Larsonport,Cayman Islands,1773-11-03,Calvinland,Timor-Leste
Christian,George,Delgado,M,1687-03-07,South Brian,Portugal,1836-05-01,Port Jerry,Argentina
Dennis,Alice,Humphrey,M,1744-05-12,South Jacqueline,Guernsey,1834-12-23,North Amandamouth,Australia
Eric,William,Mccoy,M,1741-06-17,East Kyleburgh,Wallis and Futuna,1836-07-23,New Brent,Papua New Guinea
Danny,Anna,Daniel,M,1762-01-25,New Kevin,Mayotte,1776-02-11,Charlesville,Austria
Kenneth,Lisa,Mcclure,F,1768-04-11,Lake Jenniferport,Honduras,1808-06-23,Mcfarlandburgh,Egypt
Christopher,Christopher,Guzman,F,1757-12-10,Kellystad,Burkina Faso,1786-09-27,North Laceyfurt,Saint Kitts and Nevis
Steven,Brenda,Jacobson,M,1697-02-25,Josephview,Russian Federation,1751-11-03,Juliaburgh,New Zealand
Steven,Gary,Ingram,M,1758-07-14,New Annetteberg,Sao Tome and Principe,1828-06-02,Meganberg,Serbia
Jordan,Jessica,Berry,M,1764-07-10,North Joshua,Barbados,1787-10-22,Seanchester,Cameroon
Jose,Michael,David,F,1690-11-01,West Joshua,Rwanda,1828-08-01,Lake Brenda,Uzbekistan
Frank,Suzanne,Hampton,F,1704-09-25,Ruizmouth,Morocco,1800-07-06,New Cynthiahaven,New Zealand
Marvin,Nicole,Cox,F,1720-03-11,South Michael,Netherlands,1830-07-12,Lake Michael,Burkina Faso
John,Holly,Smith,M,1771-01-29,New Marilyn,Slovenia,1910-05-18,West Robinville,Saint Vincent and the Grenadines
Michael,Dennis,Luna,F,1717-08-07,Michaelchester,Micronesia,1746-12-24,South Melissa,Falkland Islands (Malvinas)
Patrick,Melissa,Smith,M,1760-02-25,North Michelle,Israel,1766-07-23,Danielchester,Armenia
Darryl,Amanda,Wilson,M,1749-06-16,Floresport,Azerbaijan,1862-02-18,Lake David,Christmas Island
Michael,Amanda,Santana,M,1751-08-02,Jeffberg,Sri Lanka,1882-09-03,Hayneshaven,Netherlands Antilles
Alan,Jill,Owen,F,1758-08-29,Margaretmouth,Estonia,1847-10-04,Sergiochester,Ireland
Don,Jennifer,Clark,F,1693-01-27,Sanchezmouth,Finland,1783-03-16,East Elizabeth,Falkland Islands (Malvinas)
Logan,Jacqueline,Trevino,M,1707-08-13,Caitlinfort,Kuwait,1788-12-21,New David,Turks and Caicos Islands
Danny,Lisa,Lee,F,1731-04-06,Nathanielmouth,Belgium,1765-01-23,Davidton,Guam
Adam,Kyle,Johnson,F,1773-08-31,Jacktown,Philippines,1912-01-10,Port Ashleyfurt,Swaziland
Michael,Tiffany,Washington,F,1738-10-18,East Keith,Mongolia,1858-02-15,South Adamville,Sierra Leone
Michael,Heather,Garcia,M,1757-09-30,Stevenborough,Brunei Darussalam,1840-12-28,North Stacyside,Chad
Alexander,Robert,Swanson,F,1732-02-13,Davisside,Mexico,1736-10-09,New Shannon,Tanzania
Jonathan,Brandon,Sanders,F,1692-02-18,Hodgesside,Timor-Leste,1748-09-15,Lake Brian,Cambodia
Brent,Cindy,Taylor,M,1702-07-18,Loganfort,Ethiopia,1744-11-16,Port Kaylaburgh,Burundi
Timothy,Darrell,Johnson,F,1714-05-13,New Michelleland,Bouvet Island (Bouvetoya),1716-06-29,New Richard,Fiji
Francis,Christopher,Ashley,F,1726-12-31,South Jeffreyborough,Saint Lucia,1861-10-11,North Dawn,Dominica
David,Erin,Mendoza,F,1766-06-05,North Dakotastad,Nauru,1912-09-20,Port Sandraland,Belarus
Jason,David,Medina,F,1685-07-05,East Charlotte,Chile,1766-11-25,Port Sherrifort,United States Minor Outlying Islands
Joshua,John,Callahan,F,1679-02-04,Lake Jeremyview,Iran,1685-01-22,Garzaland,Malta
Scott,Michael,Burch,F,1753-05-04,Dickersonport,Korea,1781-12-30,Sharonville,Sweden
Jeffery,Brittany,Gibson,F,1761-12-21,Amandaborough,Jersey,1893-03-28,South Victorfurt,Hungary
Michael,Dustin,Bennett,F,1678-04-09,Port Isaac,Honduras,1694-02-03,Brayside,Mongolia
Jason,Zachary,Johnson,M,1699-04-20,Lake Nathanview,China,1772-02-23,Williamsside,Dominican Republic
Kevin,Michael,Murray,F,1716-12-11,Martinstad,Grenada,1808-09-05,Sullivanfort,Philippines
David,Mark,Jenkins,F,1707-11-05,Markstad,Tonga,1853-04-30,North Anthonyborough,Lesotho
Alex,Devon,Atkinson,F,1679-01-04,Markborough,Palestinian Territory,1794-01-09,Port Richard,Bulgaria
Thomas,Kyle,Davila,M,1740-06-18,Avilaberg,Guadeloupe,1814-05-26,East Robertmouth,Namibia
Gabriel,Thomas,Padilla,F,1727-01-17,Lawrencemouth,Barbados,1781-06-24,Jamesburgh,Eritrea
William,Molly,Johnson,M,1704-12-04,East Lauren,Wallis and Futuna,1846-05-06,New Ryan,Grenada
Michael,Joshua,Day,F,1738-09-21,Port Ryanview,Lithuania,1867-06-02,New Michaelton,Algeria
Michael,Brian,Patton,F,1761-04-22,Freemanview,Montserrat,1850-09-22,Greggside,Bahamas
Eugene,Roger,Stokes,M,1715-02-13,Daniellechester,Suriname,1796-08-13,East Donald,Anguilla
Charles,Kathleen,Harris,F,1684-08-29,South Amyfurt,Central African Republic,1685-02-05,Lake Angelamouth,Cote d'Ivoire
Jesse,Charlotte,Gardner,M,1705-06-20,Robintown,Micronesia,1853-06-08,Callahanland,Brazil
Rodney,Jason,Garcia,M,1762-02-11,Erinville,Algeria,1850-04-19,Port Andrew,Kyrgyz Republic
Reginald,Richard,Rhodes,M,1731-06-07,New Monicaberg,Finland,1872-09-09,West Ashleyport,Heard Island and McDonald Islands
Steven,Tina,Johnson,M,1677-05-29,Port Robertfurt,Kiribati,1763-11-20,Juanland,Vanuatu
Daniel,Melissa,Ortiz,M,1749-09-02,Christopherside,Bolivia,1825-07-09,Wilsonburgh,Brunei Darussalam
Matthew,Luis,Ford,F,1722-03-29,Johnton,Colombia,1744-01-23,North Sarahview,Cuba
Mason,Robert,Ortiz,M,1699-12-02,Lake Matthewton,Russian Federation,1723-09-28,North Christopherton,Qatar
John,Erica,Quinn,M,1709-11-21,Lorrainehaven,Hungary,1846-12-23,Victorton,Burkina Faso
William,Alyssa,Perry,M,1772-07-26,Amandastad,Andorra,1790-04-19,Gutierrezport,Nepal
Bruce,Heather,Anderson,M,1767-05-22,South Tamarastad,Gambia,1790-04-28,Nguyenville,Eritrea
Marcus,Donald,Morris,F,1757-02-08,Port Jessicahaven,Taiwan,1803-05-08,North Donald,Kenya
Anthony,Katie,Murphy,M,1707-12-20,South Nancychester,Bhutan,1856-08-10,Oneillfort,Belarus
Gene,David,Miller,M,1712-10-27,West Deborah,Brunei Darussalam,1738-08-20,Sherylstad,Japan
David,Sara,Simmons,M,1688-06-15,East Nicolehaven,Turks and Caicos Islands,1759-08-06,South Nicholas,Swaziland
Christian,Shaun,Hughes,M,1700-10-21,Jenniferburgh,Austria,1705-03-26,Garrisonhaven,Turkmenistan
Dan,Jeremy,Leblanc,M,1773-06-25,Jeffersonport,Georgia,1850-11-04,Rodriguezbury,Ecuador
Cameron,Mckenzie,Clark,F,1726-03-03,Lake Glendatown,Slovakia (Slovak Republic),1792-10-26,Stewartstad,Romania
Jose,Kevin,Walker,M,1675-11-24,East Monicastad,Georgia,1771-07-03,North Angieburgh,Morocco
Michael,Amanda,Johnson,M,1697-08-12,Elliottbury,Botswana,1809-10-10,Ramirezborough,Spain
Sean,Andrew,Spencer,F,1714-05-09,Marthachester,French Polynesia,1849-09-02,North John,Heard Island and McDonald Islands
Michael,Kenneth,French,M,1722-01-29,Brettmouth,Saudi Arabia,1732-12-12,East Oliviamouth,French Polynesia
Jerry,Daniel,Anderson,M,1772-02-02,West Williammouth,Sweden,1812-01-07,South Tracyborough,Isle of Man
Bill,Carrie,Alvarez,M,1729-09-09,Barrymouth,Mozambique,1746-09-05,Port Tannerchester,Denmark
Christopher,Matthew,Martinez,M,1687-12-13,Royfurt,Nauru,1808-01-28,East Priscilla,Spain
Randy,Jeffrey,Sparks,F,1732-11-30,Lake Christopherview,Seychelles,1737-11-15,Bradyview,Armenia
David,Cheryl,Anderson,F,1717-02-11,East Virginiamouth,Lesotho,1779-12-02,Lambertmouth,Jersey
Willie,Sean,Miles,M,1707-05-25,West Jeffside,American Samoa,1795-07-04,East Paul,Cyprus
Seth,John,Garcia,M,1773-01-20,Lake Melissafurt,Nauru,1915-07-31,Johnnyfort,French Southern Territories
Dustin,Dawn,Gray,F,1724-05-04,Rebeccaberg,Saint Kitts and Nevis,1850-07-27,New Donnamouth,Fiji
Michael,Chelsea,Hutchinson,M,1676-01-03,Scottborough,Yemen,1807-07-02,Copelandmouth,Trinidad and Tobago
Luis,Sarah,Moss,F,1713-01-19,Michaelfurt,Canada,1767-08-11,East Billy,Djibouti
Steven,Brooke,King,F,1729-10-22,South Kendrabury,Brunei Darussalam,1848-11-19,Melendezstad,Bermuda
Evan,Jeffery,Mendoza,F,1770-07-12,Butlerview,Timor-Leste,1856-10-17,Frankfort,Netherlands Antilles
Matthew,Carolyn,Bishop,F,1771-08-03,Pittmanview,Antigua and Barbuda,1805-03-15,Lake Danabury,Montserrat
Jimmy,Sara,Houston,M,1755-09-18,Waltonton,South Georgia and the South Sandwich Islands,1805-07-21,Francismouth,Turkmenistan
Anthony,Krystal,Warren,M,1696-08-19,Kathrynchester,Gambia,1816-12-09,East Carmenport,Saudi Arabia
Mitchell,Sara,Dunn,F,1746-01-08,Janiceport,Jamaica,1889-10-24,Port Shelby,Holy See (Vatican City State)
Christopher,James,Summers,M,1707-09-19,Jenniferchester,Albania,1797-06-12,Lake Brianfurt,Gibraltar
Theodore,Maureen,Miller,F,1694-01-13,North Markfort,Guam,1832-09-29,West Marvin,Korea
Luke,Kristine,Garcia,M,1740-11-12,Campbellmouth,South Georgia and the South Sandwich Islands,1783-11-19,South Luke,Ukraine
Steven,William,Glenn,M,1767-11-19,North Nicholas,Bahrain,1850-06-16,Boydburgh,Sudan
Brett,Brian,Barker,M,1673-04-24,New Claire,New Zealand,1674-12-22,North Jacob,Ukraine
David,Monica,Gallegos,F,1674-09-20,Cooleyside,Pakistan,1796-04-29,Kevinfort,Sierra Leone
Alex,Dan,Barry,M,1712-02-26,East Luis,Holy See (Vatican City State),1815-06-27,West Marcialand,Bosnia and Herzegovina
Michael,Christopher,Flowers,F,1750-09-06,Benjaminville,Samoa,1813-11-15,New Stephanieton,Lao People's Democratic Republic
Kirk,Pamela,Morton,F,1693-11-08,Port Debraland,Nigeria,1751-03-18,Schneiderton,Martinique
William,Catherine,Gallegos,F,1707-08-31,Spencershire,Netherlands Antilles,1818-08-18,Butlertown,Mayotte
Clifford,Austin,Hunter,F,1696-10-21,South Stephanie,Denmark,1762-04-20,Davidton,Lao People's Democratic Republic
Kevin,Breanna,Figueroa,M,1710-12-16,West Scott,Libyan Arab Jamahiriya,1831-04-14,West Kristenfurt,Iraq
Scott,Terri,Gonzalez,F,1702-06-11,North Bradley,United Kingdom,1776-03-19,Lake Denise,Bouvet Island (Bouvetoya)
Darren,Joseph,James,F,1686-03-28,New Eduardoborough,Guinea-Bissau,1760-11-15,Hawkinsfort,Djibouti
William,Jonathan,Frost,F,1681-01-14,Robertshaven,India,1699-01-08,East Jonathanshire,Sweden
Timothy,Randall,Jones,M,1680-03-16,West Markhaven,Belarus,1819-06-04,Lake Robertmouth,Panama
Daniel,Savannah,Romero,M,1706-12-06,North Roberthaven,Cote d'Ivoire,1780-02-12,Davisfurt,Kenya
Antonio,Jeffrey,Yang,F,1753-12-07,Jamieland,Luxembourg,1875-12-03,North Aarontown,Burundi
Clinton,Jose,Warner,F,1691-12-06,Hodgestown,Bosnia and Herzegovina,1756-01-10,Clarkshire,French Guiana
Joshua,Jessica,Roberts,M,1746-01-05,North Lindsaymouth,Peru,1804-04-19,West Richard,United Arab Emirates
Kevin,Daniel,Wilkerson,M,1771-03-31,Charlesview,Lesotho,1800-07-07,Port James,Guinea
Tim,Jason,Marshall,F,1674-03-02,New Jamesland,Kenya,1691-11-05,Jenniferstad,Saudi Arabia
Joshua,Wendy,Johnson,M,1682-06-16,Kathleenmouth,Maldives,1812-12-20,Lake Tammyburgh,Fiji
Paul,Steven,Chaney,M,1736-12-02,East Nicole,Liechtenstein,1801-02-16,Ibarraburgh,Holy See (Vatican City State)
Bryan,Nicole,Clark,F,1695-01-15,Port Michaelstad,Gambia,1813-05-16,Laurenmouth,Guinea
Frank,Jill,Gomez,M,1704-12-17,Mooremouth,Estonia,1728-06-21,West Robert,Spain
Maurice,Daniel,Jones,F,1683-09-01,Port Douglas,Belgium,1740-01-05,Donaldburgh,Syrian Arab Republic
Peter,Kenneth,Fowler,F,1762-03-31,New David,Gambia,1863-06-02,Port Brittneymouth,Norfolk Island
Peter,Brittney,James,F,1714-10-18,Millerview,Libyan Arab Jamahiriya,1750-06-05,Vincenthaven,Northern Mariana Islands
Anthony,Micheal,Stewart,F,1737-03-16,Batesland,Kenya,1872-08-30,Nguyenville,Uzbekistan
Keith,Priscilla,Smith,F,1703-03-24,Younghaven,Moldova,1766-05-14,Stevensmouth,Kenya
Jason,Donald,Collins,F,1770-10-23,East Stephaniemouth,Haiti,1861-08-10,Kevinville,Seychelles
Eric,Madison,Salazar,M,1740-08-07,North Mary,Dominican Republic,1857-11-18,Beckyfurt,Guinea-Bissau
Brian,Karen,Clay,M,1685-06-26,Robinsonburgh,Guinea,1759-02-15,North Spencermouth,Malaysia
Michael,Robert,Rodgers,M,1707-02-05,Kevinchester,Bhutan,1802-04-22,Kristinton,Tonga
Bryan,Steven,Reyes,F,1759-10-26,New Angelaport,Norway,1881-11-26,East Reneeport,French Southern Territories
Justin,Rachel,Hill,F,1743-12-23,New Adrianland,Mali,1846-04-23,Cookville,Panama
Matthew,Casey,Chen,F,1743-08-26,Lake Jesuschester,Bhutan,1851-09-18,North Bruce,Malta
Keith,Nicole,Collins,M,1681-06-16,Troyhaven,Mongolia,1727-12-21,West Jessicamouth,Kyrgyz Republic
Stephen,Rebecca,Franco,M,1716-07-17,West Kimberlyfurt,Kuwait,1718-09-08,West Eric,Kenya
Andrew,Melissa,Hernandez,M,1721-05-28,Walkermouth,Guinea,1840-01-18,East Katiehaven,Japan
James,Susan,Armstrong,M,1761-03-12,Tamaraton,Haiti,1829-10-14,Garciaville,Guatemala
Jimmy,David,Martinez,F,1723-03-28,Debrastad,Micronesia,1780-10-26,Tracyshire,Guadeloupe
Marc,Evan,Durham,M,1763-08-19,Lake Elijah,French Polynesia,1863-02-15,Charlesburgh,Libyan Arab Jamahiriya
William,Chad,Barnes,M,1748-03-20,Fernandezside,Fiji,1895-04-11,Rhondaton,Brunei Darussalam
Michael,Stacey,Shaw,M,1768-05-12,North Jasmine,Maldives,1783-08-04,Davischester,Brazil
Melvin,Anthony,Banks,M,1729-06-12,West Timothyside,South Africa,1869-01-05,North Tracy,Macao
Christian,Alexandra,Lee,F,1678-12-03,Sanchezhaven,Algeria,1765-12-22,West Derek,French Polynesia
Tony,Andre,Harper,M,1764-01-15,Mcbrideshire,Switzerland,1847-05-04,Matthewport,Saint Barthelemy
Matthew,Rebecca,Smith,M,1687-07-28,Paulmouth,Togo,1744-11-20,West Briannachester,Chad
William,Lori,Tran,F,1746-10-16,West Lorimouth,Gambia,1825-05-28,Karenport,Hungary
Jackson,Sonia,Wright,F,1732-12-04,South Barbaramouth,Togo,1862-02-04,South Linda,Central African Republic
Nathaniel,Dana,Lambert,M,1699-10-11,Port Latashaport,Tanzania,1752-11-11,Roachmouth,Malawi
Zachary,James,Phillips,M,1725-11-04,Carlosfurt,Guam,1802-06-20,North Cynthia,Greenland
Mark,April,Bailey,M,1764-02-14,Port Stanleyborough,Mayotte,1800-11-06,Nathanielstad,Korea
Lawrence,Donna,Gonzalez,M,1728-11-07,Zacharyport,Poland,1814-11-30,Aprilshire,Palestinian Territory
Jeremy,Anthony,Brown,M,1753-09-18,West Brett,Kuwait,1785-03-21,East Kimberlybury,Saudi Arabia
Adam,Adam,Lynch,F,1742-02-03,West John,French Guiana,1835-08-31,North Jennifer,Madagascar
Paul,Tiffany,Thornton,F,1679-03-09,New Thomas,Thailand,1765-01-13,Reneechester,Puerto Rico
Raymond,Kyle,Bowers,F,1754-05-28,Port Brianchester,Eritrea,1808-08-07,West Tony,Peru
Anthony,Carol,Pierce,F,1766-11-04,East Kellymouth,Seychelles,1802-05-09,West Sara,Isle of Man
Paul,George,Franklin,M,1770-07-25,Annmouth,American Samoa,1865-02-07,Matthewstad,Cyprus
Omar,Samantha,Richards,F,1736-03-13,Perrybury,Bosnia and Herzegovina,1760-01-20,West Ashleyport,Swaziland
Raymond,Craig,Mercado,M,1715-04-16,Perezberg,Switzerland,1813-07-24,Lake Andreamouth,Qatar
James,Robert,Johnson,M,1682-07-08,Cooperview,Kyrgyz Republic,1815-11-27,Hansonshire,Cameroon
James,Michael,Marshall,F,1712-10-25,Haleville,Mauritania,1829-05-10,Lake Breanna,Guinea-Bissau
Dustin,Kyle,Snyder,F,1738-04-30,Port Brittany,Comoros,1809-06-04,Johnsonton,Liberia
Alan,Jared,Davis,M,1720-09-07,North Johnborough,Puerto Rico,1753-04-11,Coxland,British Virgin Islands
John,Christy,Olson,M,1717-01-10,Arielfort,Bermuda,1802-09-14,Bethanyberg,Honduras
Scott,Jennifer,Richmond,F,1759-01-06,Lake Marcbury,Djibouti,1787-05-19,Tonyview,Cote d'Ivoire
Glenn,Kristi,Thompson,M,1747-10-13,West Sabrinaview,Tanzania,1757-11-30,Castillobury,Greece
Douglas,Gerald,Bryan,M,1674-07-02,East Samantha,Bermuda,1741-10-17,West Glorialand,Senegal
George,Raymond,Ramos,F,1718-08-03,North Julie,Cape Verde,1811-05-19,West James,Latvia
Robert,Nicholas,Riley,M,1764-11-18,West Leslie,Mauritania,1891-12-10,Port Brian,Sierra Leone
Mitchell,Amy,Jenkins,F,1724-04-17,Billstad,United States of America,1758-09-11,East Ryan,Mauritania
Shane,Rebecca,Sanchez,M,1750-04-27,Christopherland,Saint Pierre and Miquelon,1760-08-28,Jamesside,Saint Martin
Robert,Lori,Flowers,F,1709-03-21,New Vincentview,Bahamas,1747-05-09,Nelsonstad,United States Virgin Islands
Daniel,Megan,Goodman,M,1762-11-10,Nicholasmouth,Norway,1765-12-09,Chelseaberg,Trinidad and Tobago
Jacob,Joshua,Reid,M,1766-10-15,Sarashire,Nauru,1806-03-12,Brittanyland,Saint Lucia
Scott,Julie,Harvey,M,1735-03-04,North Matthew,Senegal,1742-09-16,New Davidville,Madagascar
David,Beth,Chambers,M,1712-02-18,Philipport,Malawi,1801-08-10,North Nicholasville,Svalbard & Jan Mayen Islands
Seth,Karen,Sanchez,M,1684-01-04,Lake Rebecca,France,1771-12-13,Rebeccaton,Burkina Faso
Jesse,Lauren,Morales,F,1702-01-24,North Ashley,French Polynesia,1799-07-09,Kristinhaven,Russian Federation
Troy,Olivia,Brown,M,1704-03-21,Meganchester,Puerto Rico,1772-11-10,Port Aaronbury,Tunisia
Aaron,David,Johnson,F,1675-08-07,Williamsbury,Venezuela,1817-06-23,Kennethshire,Honduras
Matthew,Megan,King,F,1722-05-23,Brentview,Trinidad and Tobago,1778-09-24,Debrachester,Kiribati
Jason,Mary,Reynolds,F,1741-05-31,North Laurenland,Antigua and Barbuda,1782-06-07,Charleschester,Puerto Rico
Steven,Shawn,Mendoza,F,1748-10-11,North Christophermouth,Peru,1881-11-27,Melissachester,France
James,Gary,Gordon,M,1682-07-30,Conleyfort,Bahamas,1770-05-17,North Tracy,Iran
John,Erica,Price,M,1685-12-13,Petersonstad,Tanzania,1815-12-08,Joshuaview,Cambodia
Robert,Jason,Thomas,F,1695-06-18,South Amandatown,Zimbabwe,1811-08-20,Hallborough,Wallis and Futuna
Chad,Tanner,Bryant,F,1768-09-25,Hallbury,Iraq,1870-09-28,Adamsmouth,United Arab Emirates
James,Benjamin,Salazar,F,1729-12-25,Port Robert,Eritrea,1786-03-01,Jamesport,Trinidad and Tobago
Alexander,Joseph,Baldwin,F,1765-05-22,West Sarah,Chile,1771-11-28,Lake Kimberlystad,Morocco
Thomas,Rachel,Anderson,F,1695-04-26,West Sherryland,Cuba,1785-09-09,Port Kathrynhaven,Zimbabwe
Roger,Jennifer,Mitchell,M,1749-09-18,Shawnstad,Chile,1846-11-20,West Brittany,Puerto Rico
Steven,James,Ford,F,1709-12-12,West Davidside,Pitcairn Islands,1802-05-30,Shortmouth,Panama
Brent,Aaron,Davis,M,1680-05-17,Rhodesmouth,Kazakhstan,1755-07-08,Michaelberg,Congo
Joseph,Monica,Jones,F,1682-10-30,South Brian,Bolivia,1817-10-03,Mcbrideland,Yemen
Jeremy,David,Conley,M,1750-06-28,Lake Carlos,Bouvet Island (Bouvetoya),1811-05-16,Tylershire,Reunion
James,Rachel,Peterson,M,1720-12-28,Gloverland,Tuvalu,1835-08-24,West Pamview,Vietnam
Andrew,Sarah,Kerr,F,1735-05-07,Klineburgh,Taiwan,1838-04-23,Rhondaburgh,Denmark
Nicholas,John,Vaughn,F,1747-05-25,Port Christina,Kazakhstan,1859-08-25,Alexandramouth,Guatemala
Joshua,Jared,Beasley,F,1730-06-19,New Sherry,Norway,1794-07-23,Lake Barbara,Croatia
Christopher,Patricia,Lawson,M,1746-02-26,Higginsmouth,Norway,1888-08-13,Lake Edward,Niger
John,Chris,Tyler,F,1747-11-01,Chandlerchester,Peru,1885-09-28,Port Shane,Lebanon
Jonathan,Megan,Moore,F,1699-04-10,West Andrewborough,Kiribati,1810-01-12,Lake John,Gabon
Justin,Justin,Harrison,M,1756-01-10,Cynthiatown,Reunion,1867-09-13,South Christychester,Rwanda
Eric,Anthony,Maldonado,M,1768-06-22,Port Brianmouth,Northern Mariana Islands,1853-04-18,Brandonfort,France
John,Tammy,Burton,F,1767-05-09,Port Kimville,Dominican Republic,1908-06-25,South Jeremy,Cuba
Douglas,Savannah,Miller,F,1747-09-29,West Williamchester,Norway,1777-10-03,Danielfurt,Kuwait
James,Debra,Drake,F,1709-03-11,West Terry,Cuba,1768-04-05,South Megan,Paraguay
Jeremy,Christopher,King,M,1726-12-19,Lisaberg,Bolivia,1862-01-03,Colemantown,Yemen
Barry,Hannah,Stein,M,1757-12-13,Robertsshire,Thailand,1821-08-02,Nathanshire,Tajikistan
Joseph,Taylor,Jacobs,M,1765-11-18,Johnbury,Mayotte,1813-10-18,Jasonborough,Liberia
Anthony,Samantha,Ray,M,1699-02-07,Walkerport,Fiji,1804-01-18,Elijahton,Faroe Islands
Roberto,Cheryl,Morales,M,1699-08-16,Bakertown,Lebanon,1708-07-16,Port Matthewside,Equatorial Guinea
Tyler,Randall,Williams,M,1744-02-15,West Caleb,Guinea-Bissau,1836-07-10,Port Daniel,Armenia
Eric,Kirk,Mendoza,M,1720-06-12,Huynhstad,Benin,1849-10-11,West Jason,Tuvalu
Andrew,Daniel,Evans,F,1723-02-25,East Elizabethmouth,French Southern Territories,1851-09-15,South Eric,Syrian Arab Republic
Steven,Steven,Mccormick,F,1766-03-04,Davidmouth,Korea,1850-08-15,Erinberg,Suriname
David,Marvin,Giles,M,1760-05-14,Andersonstad,Saudi Arabia,1813-08-27,Livingstontown,South Africa
